1, 9995.490, 0.108, 3463.377, 0.287
2, 19442.914, 0.119, 7339.553, 0.272
4, 33248.774, 0.150, 14493.980, 0.276
8, 39545.429, 0.276, 19633.284, 0.424
16, 43346.991, 0.490, 21920.138, 0.746
32, 46567.436, 1.047, 20195.077, 1.595
64, 49781.797, 1.560, 20193.384, 3.158
128, 55005.726, 2.468, 25453.037, 5.439
256, 56639.286, 5.263, 36511.768, 18.611
