10, 867.195, 10.942, 0.000, 751.766, 13.000, 0.000
20, 1745.761, 11.129, 0.000, 756.957, 25.902, 0.000
30, 2599.029, 11.391, 0.000, 754.179, 38.590, 0.000
40, 3566.213, 11.073, 0.000, 761.798, 51.003, 0.000
50, 4421.892, 11.164, 0.000, 770.497, 62.950, 0.000
60, 5343.172, 11.120, 0.000, 773.470, 75.181, 0.000
70, 6208.816, 11.113, 0.000, 775.390, 86.916, 0.000
80, 7140.072, 11.115, 0.000, 765.383, 97.778, 0.000
90, 8020.939, 11.107, 0.000, 768.625, 109.242, 0.000
100, 8872.392, 11.168, 0.000, 768.823, 120.394, 0.000
110, 9777.949, 11.174, 0.000, 804.464, 36.516, 10380.761
120, 10646.751, 11.148, 0.000, 784.452, 33.170, 25486.965
130, 11516.931, 11.200, 0.000, 770.830, 32.663, 27636.252
140, 12368.237, 11.226, 0.000, 745.368, 32.594, 28955.722
150, 13250.474, 11.204, 0.000, 733.872, 32.560, 30312.455
160, 14129.281, 11.235, 0.000, 717.365, 32.575, 30008.392
170, 15019.535, 11.206, 0.000, 688.777, 32.680, 31337.545
180, 15805.922, 11.271, 0.000, 669.643, 32.395, 31213.343
190, 16755.842, 11.228, 0.000, 672.809, 32.615, 31989.351
200, 17500.975, 11.348, 0.000, 623.915, 33.021, 33189.390
210, 18523.417, 11.265, 0.000, 611.586, 33.171, 33629.948
220, 19346.139, 11.295, 0.000, 609.758, 32.586, 32564.365
230, 20036.708, 11.380, 0.000, 577.903, 33.882, 34009.946
240, 20917.026, 11.386, 0.000, 562.895, 33.839, 33733.695
250, 21782.140, 11.394, 0.000, 559.739, 33.165, 35523.465
260, 22549.755, 11.447, 0.000, 529.875, 34.557, 33518.441
270, 23448.334, 11.441, 0.000, 577.062, 32.223, 34293.831
280, 24083.197, 11.631, 0.000, 477.153, 36.740, 34692.205
290, 25133.521, 11.560, 0.000, 480.419, 35.379, 36453.693
300, 25438.809, 11.667, 0.000, 459.045, 37.388, 36713.601
310, 25362.763, 12.255, 0.000, 411.824, 39.877, 32755.931
320, 26818.862, 11.913, 0.000, 433.691, 38.940, 36645.540
330, 28037.103, 11.771, 0.000, 388.214, 41.765, 35353.834
340, 28773.096, 11.824, 0.000, 421.964, 38.095, 36286.205
350, 29243.300, 11.960, 0.000, 451.553, 36.120, 37094.613
360, 29934.691, 12.077, 0.000, 373.337, 40.400, 35597.821
370, 29683.391, 12.447, 0.000, 395.751, 38.533, 36531.591
380, 31281.495, 12.150, 0.000, 374.256, 39.714, 37196.156
390, 31676.124, 12.383, 0.000, 383.174, 41.551, 37116.100
400, 32020.087, 12.537, 0.000, 371.771, 40.540, 37162.577
