1, 12527.966, 0.090, 3943.507, 0.253
2, 21634.117, 0.106, 6900.829, 0.295
4, 32070.811, 0.170, 14565.225, 0.277
8, 40485.940, 0.308, 19818.520, 0.416
16, 44346.787, 0.469, 22164.473, 0.737
32, 51920.671, 0.884, 20546.082, 1.546
64, 58671.392, 1.783, 20351.578, 3.107
128, 59519.632, 2.257, 26736.874, 5.234
256, 65378.728, 4.234, 35833.305, 17.364
